chr11	119208800	119212800	+	28825
chr10	79244500	79248500	+	24826
chr16	32738600	32742600	+	36846
chr11	106167500	106171500	+	28269
chr3	152603800	152607800	+	7969
chr11	69054100	69058100	+	26981
chr14	31983300	31987300	+	33165
chr15	55147800	55151800	+	34881
chr2	31808500	31812500	+	3388
chr11	110117300	110121300	+	28405
chr3	87591900	87595900	+	6985
chr15	83898600	83902600	+	35559
chr7	53267200	53271200	+	16994
chr7	144507650	144511650	+	18547
chr7	16831900	16835900	+	16386
chr8	16166800	16170800	+	19008
chr2	90950800	90954800	+	4188
chr13	54853400	54857400	+	31704
chr17	57411300	57415300	+	38867
chr1	133643800	133647800	+	1531
chr11	53281900	53285900	+	26525
chr2	164985800	164989800	+	5469
chr11	94105900	94109900	+	27731
chr7	20448500	20452500	+	16478
chr9	7631200	7635200	+	21177
chr11	62698900	62702900	+	26854
chr11	35892350	35896350	+	26329
chr14	124400800	124404800	+	34280
chr14	70932400	70936400	+	33775
chr14	70946500	70950500	+	33776
chr6	124794450	124798450	+	15828
chr9	32250200	32254200	+	21500
chr11	60259500	60263500	+	26757
chr10	75013450	75017450	+	24699
chr2	71984250	71988250	+	3987
chr1	89070000	89074000	+	1020
chr1	74798500	74802500	+	844
chr1	172895900	172899900	+	2300
chr5	134700000	134704000	+	13312
chr11	81403500	81407500	+	27407
chr11	80884200	80888200	+	27394
chr4	41008400	41012400	+	8325
chr4	140948600	140952600	+	10531
chr1	173977000	173981000	+	2340
chr18	78330200	78334200	+	40665
chr10	42572900	42576900	+	24095
chr3	87654000	87658000	+	6986
chr4	133747300	133751300	+	10047
chr7	13588900	13592900	+	16361
chr14	71291600	71295600	+	33784
chr13	58704000	58708000	+	31850
chr11	5844100	5848100	+	25823
chr12	32887550	32891550	+	29357
chr6	85812800	85816800	+	15058
chr9	44070000	44074000	+	21725
chr11	75255900	75259900	+	27153
chr16	44321600	44325600	+	37082
chr16	31882600	31886600	+	36813
chr4	43987800	43991800	+	8388
chr19	45219600	45223600	+	41678
chr2	104058200	104062200	+	4368
chr8	121972300	121976300	+	20717
chr10	127678400	127682400	+	25670
chr9	70693700	70697700	+	22541
chr15	76557400	76561400	+	35221
chr11	96173150	96177150	+	27851
chr14	52961200	52965200	+	33394
chr14	49931500	49935500	+	33369
chr4	118204650	118208650	+	9429
chr15	98626500	98630500	+	35906
chr2	112093800	112097800	+	4448
chr9	119986800	119990800	+	23407
chr7	140866100	140870100	+	18474
chr11	99287400	99291400	+	28035
chr8	35175400	35179400	+	19276
chr8	125938700	125942700	+	20949
chr11	72217000	72221000	+	27080
chr11	117724600	117728600	+	28740
chr17	13070600	13074600	+	37821
chr4	111089700	111093700	+	9287
chr19	7002300	7006300	+	40949
chr17	65996950	66000950	+	38910
chr4	128420700	128424700	+	9747
chr5	75473500	75477500	+	11916
chr1	136083700	136087700	+	1702
chr8	85815500	85819500	+	19905
chr11	115117800	115121800	+	28548
chr14	51510600	51514600	+	33379
chr11	98517500	98521500	+	27991
chr11	61025900	61029900	+	26787
chr15	103143550	103147550	+	36104
chr13	99126600	99130600	+	32339
chr5	112875700	112879700	+	12431
chr1	66738600	66742600	+	738
chr15	89390500	89394500	+	35726
chr11	69566300	69570300	+	27008
chr7	150778100	150782100	+	18706
chr1	136181300	136185300	+	1706
chr18	36667700	36671700	+	39930
chr9	20627500	20631500	+	21302
chr5	150229300	150233300	+	13996
chr2	25060500	25064500	+	3079
chr11	94823550	94827550	+	27760
chr1	135264200	135268200	+	1656
chr1	135235900	135239900	+	1653
chr15	78418300	78422300	+	35297
chr6	124457000	124461000	+	15815
chr1	168936900	168940900	+	2225
chr10	75070400	75074400	+	24702
chr10	75045900	75049900	+	24701
chr12	106834800	106838800	+	30450
chr15	84128800	84132800	+	35576
chr1	75440700	75444700	+	865
chr4	118931100	118935100	+	9462
chr14	31285050	31289050	+	33152
chr17	24400500	24404500	+	37918
chr15	76882100	76886100	+	35230
chr8	73135500	73139500	+	19715
chr8	125140200	125144200	+	20906
chr8	72418200	72422200	+	19674
chr18	35876000	35880000	+	39889
chr11	78193500	78197500	+	27288
chr17	28707000	28711000	+	38142
chr4	119842700	119846700	+	9481
chr4	124575100	124579100	+	9602
chr5	148142200	148146200	+	13881
