chr2	3338402	3343402	+	4.27312e-08	NM_175683	0
chr12	31566188	31571188	+	4.9897e-07	NM_001159743	0
chr6	34265489	34270489	-	4.11932e-06	NM_009658	0
chr12	80228774	80233774	+	2.05957e-05	NM_009705	0
chr4	141379918	141384918	-	9.21346e-05	NM_007919	0
chr11	119173100	119178100	+	0.000301864	NM_130886	0
chr4	9193508	9198508	+	0.000578017	NM_028940	0
chr3	80604713	80609713	-	0.000798648	NM_013540	0
chr3	80604713	80609713	-	0.00086428	NM_001083806	0
chr1	31230279	31235279	+	0.00106046	NM_153601	0
chr9	4794234	4799234	-	0.00114219	NM_001113181	0
chr10	79249730	79254730	-	0.0014264	NM_001042710	0
chr6	52193766	52198766	-	0.00183473	NM_010450	0
chr8	124466812	124471812	-	0.00231017	NM_007608	0
chr6	121785558	121790558	+	0.00244332	NM_008645	0
chr6	121953815	121958815	+	0.00250354	NM_008646	0
chr1	95914069	95919069	+	0.00252409	NM_173772	0
chr17	25504497	25509497	+	0.00266622	NM_012034	0
chr9	91260809	91265809	+	0.0027828	NM_009576	0
chr16	32732971	32737971	+	0.00302556	NM_080457	0
chr5	9723352	9728352	-	0.00321722	NM_181850	0
chr18	37477034	37482034	+	0.00321995	NM_053130	0
chr7	11270141	11275141	+	0.00347468	NM_172481	0
chr13	55120695	55125695	-	0.00359207	NM_001033245	0
chrX	136913509	136918509	+	0.00362181	NM_177750	0
chr18	37557508	37562508	+	0.00372376	NM_053134	0
chr2	42507118	42512118	-	0.00375174	NM_053011	0
chr19	50751102	50756102	-	0.00382879	NM_021377	0
chrX	140365762	140370762	-	0.00391088	NM_001110223	0
chr19	39535565	39540565	-	0.00396518	NM_010002	0
chr5	67488365	67493365	-	0.00400849	NM_008888	0
chr18	37630199	37635199	+	0.00407016	NM_053140	0
chrX	140365762	140370762	-	0.00407602	NM_001110224	0
chr6	144156078	144161078	-	0.00410689	NM_001113559	0
chr11	32098279	32103279	-	0.004141	NM_008374	0
chr11	106208704	106213704	-	0.00418161	NM_133199	0
chr15	48621535	48626535	-	0.00424757	NM_001081391	0
chrX	140365762	140370762	-	0.00433931	NM_010025	0
chr7	50046866	50051866	-	0.00440934	NM_001105059	0
chr7	50187159	50192159	-	0.00440934	NM_001105060	0
chr7	50271167	50276167	+	0.00443512	NM_001105061	0
chr1	19199134	19204134	+	0.00455586	NM_001025305	0
chr3	64211979	64216979	-	0.00457975	NM_001104615	0
chr3	64309607	64314607	-	0.00457975	NM_001104618	0
chr3	64361740	64366740	-	0.00457975	NM_001104619	0
chr3	64521524	64526524	-	0.00457975	NM_175674	0
chr4	143201905	143206905	+	0.00461692	NM_001126324	0
chr11	32098279	32103279	-	0.00480349	NM_001134458	0
chr19	24973799	24978799	-	0.00485121	NM_008022	0
chr10	85472605	85477605	-	0.00488664	NM_177772	0
chr15	101721351	101726351	-	0.00492045	NM_001033177	0
chr11	109950934	109955934	-	0.0049766	NM_153145	0
chr1	21370636	21375636	+	0.00506279	NM_001113187	0
chr10	73281614	73286614	+	0.00513308	NM_001142746	0
chr15	9262352	9267352	+	0.00518037	NM_144845	0
chr10	73281614	73286614	+	0.00520962	NM_001142760	0
