gname	gchrom	gstart	gend	log.FPRM	strand	status	echrom	estart	end	gid	eid	prob	log.p.value.correct
NM_001081337	chr8	127941962	128016610	1.92073445551441	-	1	chr8	127974900	127976900	5791	29911	1	87.6223043734667
NM_009335	chr2	172375092	172384119	3.14593947379069	+	1	chr2	172379250	172381250	9618	17827	1	86.1984188075826
NM_013660	chr13	51796616	51889013	1.69497687261661	-	1	chr13	51764200	51766200	4912	7867	1	83.9022541929595
NM_009151	chr5	114267806	114280510	-2.24237467459506	-	0	chr5	114303600	114305600	2192	23377	0.983050847457627	81.414496218716
NM_013867	chr3	122122697	122233098	1.76698852023613	+	1	chr3	122131700	122133700	5204	19485	1	81.3798863231885
NM_199307	chr4	137418151	137521143	2.03625738444869	+	1	chr4	137307300	137309300	6247	21744	1	80.4807262464712
NM_134084	chr14	26513655	26519952	2.47753790045057	+	1	chr14	26458000	26460000	7865	8950	1	80.4807262464712
NM_009335	chr2	172375092	172384119	3.14593947379069	+	1	chr2	172403100	172405100	9618	17830	0.966101694915254	79.9017705515634
NM_025382	chr4	134358677	134409260	2.34924918915793	-	1	chr4	134449700	134451700	7410	21567	0.983050847457627	79.8405303715972
NM_029608	chr2	172298053	172299816	-1.3638325275508	+	0	chr2	172444200	172446200	3404	17836	1	79.5488655075954
NM_011908	chr5	149316206	149364364	2.24457561121615	-	1	chr5	149318900	149320900	7030	24587	1	79.5488655075954
NM_019837	chr17	27716335	27760397	2.52444782440853	-	1	chr17	27732200	27734200	8017	12956	0.983050847457627	79.0150582576407
NM_001013385	chr17	27559332	27640249	-2.88639905952248	-	0	chr17	27529700	27531700	1446	12938	1	78.5818319774283
NM_007745	chr4	148499299	148500850	-1.09900036395959	-	0	chr4	148449900	148451900	3784	22133	1	78.5818319774283
NM_181072	chr9	70055156	70247874	2.49408110216754	+	1	chr9	70202900	70204900	7924	32633	1	78.5818319774283
NM_145554	chr4	134301326	134323919	1.70627601527838	-	1	chr4	134449700	134451700	4958	21567	0.983050847457627	78.1616134875983
NM_027935	chr4	134453763	134470831	2.78811752385741	-	1	chr4	134449700	134451700	8803	21567	0.983050847457627	78.1616134875983
NM_026063	chr17	27259609	27270836	3.42768026068753	-	1	chr17	27375500	27377500	10070	12933	0.983050847457627	78.1616134875983
NM_013660	chr13	51796616	51889013	1.69497687261661	-	1	chr13	51832600	51834600	4912	7872	0.966101694915254	77.6857977142114
NM_001025250	chr17	46153942	46169326	2.14309099583946	-	1	chr17	46264850	46266850	6653	13525	1	77.5768659837352
NM_016916	chr2	157382097	157392097	2.15963116163816	-	1	chr2	157295900	157297900	6708	17285	1	77.5768659837352
NM_030262	chr10	76722044	76732331	2.1632471607139	+	1	chr10	76728650	76730650	6728	1276	1	77.5768659837352
NM_009719	chr10	61595837	61597511	-1.94025715736358	+	0	chr10	61472700	61474700	2584	989	0.983050847457627	77.2782379834227
NM_026780	chr4	134486894	134493452	2.58835032948905	+	1	chr4	134449700	134451700	8219	21567	0.983050847457627	77.2782379834227
NM_022321	chr15	84155149	84173408	-3.17806503041067	+	0	chr15	84111200	84113200	1108	11049	1	76.5308666831999
NM_026521	chr15	36926783	36937157	2.5971335378631	-	1	chr15	36960200	36962200	8250	10233	1	76.5308666831999
NM_178069	chr16	30561454	30587675	2.65495879986096	-	1	chr16	30560400	30562400	8436	11894	1	76.5308666831999
NM_009391	chr5	129526030	129530196	4.24512241760932	+	1	chr5	129498300	129500300	10775	23932	1	76.5308666831999
NM_001013771	chr1	59573107	59691353	-2.38255188688244	+	0	chr1	59484100	59486100	2014	11248	0.983050847457627	76.3627571638385
NM_181047	chr4	134925491	134941587	-1.46257515367755	-	0	chr4	135085300	135087300	3259	21614	0.983050847457627	76.3627571638385
NM_008815	chr11	101631055	101646624	1.58808147860554	-	1	chr11	101632900	101634900	4469	1814	0.983050847457627	76.3627571638385
NM_001013756	chr4	135097802	135129535	1.60859355606557	-	1	chr4	135109900	135111900	4580	21618	0.983050847457627	76.3627571638385
NM_011443	chr3	34548926	34551382	4.81916804264259	+	1	chr3	34634600	34636600	10952	19965	0.983050847457627	76.3627571638385
NM_146188	chr7	35424035	35437860	1.98093250097111	-	1	chr7	35429900	35431900	6041	28566	0.966101694915254	76.0899995705866
NM_023665	chr4	134479539	134483285	3.46618580158009	+	1	chr4	134449700	134451700	10123	21567	0.966101694915254	76.0899995705866
