NM_175683	2850377	chr2	3341402	3378389	-16.968336504371	3.97127e-08	4.57497e-08	+	0
NM_001159743	2470839	chr12	31569188	31578719	-14.5107198632427	4.529e-07	5.4504e-07	+	0
NM_009658	3187369	chr6	34253929	34267489	-12.3998224567685	3.58338e-06	4.65526e-06	-	0
NM_009705	2489989	chr12	80231774	80257287	-10.7904282418216	1.89574e-05	2.22341e-05	+	0
NM_007919	3087425	chr4	141370877	141381918	-9.29226000664235	8.61951e-05	9.80742e-05	-	0
NM_130886	2426065	chr11	119176100	119206689	-8.10553397314475	0.000257373	0.000346355	+	0
NM_028940	3018505	chr4	9196508	9378838	-7.45590727795971	0.000567568	0.000588466	+	0
NM_013540	2975247	chr3	80488857	80606713	-7.13259025995733	0	0.00528361	-	0
NM_001083806	2975247	chr3	80488857	80606713	-7.0536137675868	0	0.00565847	-	0
NM_153601	2230587	chr1	31233279	31261570	-6.8490525027284	0	0.00395428	+	0
NM_001113181	3386723	chr9	4478262	4796234	-6.77480780680598	0.00107193	0.00121245	-	0
NM_001042710	2337325	chr10	79244218	79251730	-6.55260149141534	0.00128188	0.00157093	-	0
NM_010450	3197183	chr6	52192104	52195766	-6.30085794726618	0	0.00582015	-	0
NM_007608	3381047	chr8	124440043	124468812	-6.07043416408268	0	0.00467856	-	0
NM_008645	3229089	chr6	121788558	121839074	-6.0143975087925	0	0.0132185	+	0
NM_008646	3229139	chr6	121956815	122035985	-5.9900495486906	0	0.0135443	+	0
NM_173772	2258631	chr1	95917069	95924907	-5.98187467725268	0	0.0136555	+	0
NM_012034	2743595	chr17	25507497	25511385	-5.9270935400001	0.00241887	0.00291357	+	0
NM_009576	3428443	chr9	91263809	91284186	-5.88429766391479	0	0.0150551	+	0
NM_080457	2697791	chr16	32735971	32782476	-5.80065908066572	0	0.010729	+	0
NM_181850	3102327	chr5	9485235	9725352	-5.73923764636783	0	0.0174053	-	0
NM_053130	2796283	chr18	37480034	37483567	-5.73838944749669	0	0.0174201	+	0
NM_172481	3249219	chr7	11273141	11315507	-5.66225289053652	0	0.0187981	+	0
NM_001033245	2537925	chr13	55107346	55122695	-5.62902664098151	0	0.0128485	-	0
NM_177750	3508925	chrX	136916509	136929079	-5.62078137810281	0	0.0195941	+	0
NM_053134	2796301	chr18	37560508	37563563	-5.59302136847547	0	0.0201457	+	0
NM_053011	2866979	chr2	40452292	42509118	-5.58553554661453	0	0.0112552	-	0
NM_021377	2845159	chr19	50222150	50753102	-5.56520645259795	0	0.0146711	-	0
NM_001110223	3509917	chrX	140290384	140367762	-5.54399286636933	0	0.0116728	-	0
NM_010002	2839485	chr19	39464045	39537565	-5.53020402770002	0	0.0214518	-	0
NM_008888	3126667	chr5	67485637	67490365	-5.51934066718314	0	0.0216861	-	0
NM_053140	2796319	chr18	37633199	37635994	-5.50407296826102	0	0.0220197	+	0
NM_001110224	3509917	chrX	140290384	140367762	-5.50263425686235	0	0.0122108	-	0
NM_001113559	3239515	chr6	143781348	144158078	-5.4950892279067	0	0.0222185	-	0
NM_008374	2379175	chr11	32088996	32100279	-5.48681797441871	0	0.0198067	-	0
NM_133199	2420233	chr11	106179906	106210704	-5.4770589391393	0	0.0160231	-	0
NM_001081391	2652691	chr15	47412183	48623535	-5.46140822427147	0	0.0127427	-	0
NM_010025	3509917	chrX	140290384	140367762	-5.44003992968458	0	0.0130664	-	0
NM_001105059	3274275	chr7	50019807	50048866	-5.42403026058748	0	0.0238547	-	0
NM_001105060	3274687	chr7	50158620	50189159	-5.42403026058748	0	0.0238547	-	0
NM_001105061	3274929	chr7	50274167	50303476	-5.41820060608946	0	0.0239942	+	0
NM_001025305	2226577	chr1	19202134	19228815	-5.39134096257873	0	0.0174571	+	0
NM_001104615	2969043	chr3	64192542	64213979	-5.38611086749871	0	0.0247766	-	0
NM_001104618	2969127	chr3	64294742	64311607	-5.38611086749871	0	0.0247766	-	0
NM_001104619	2969147	chr3	64341482	64363740	-5.38611086749871	0	0.0247766	-	0
NM_175674	2969207	chr3	64494581	64523524	-5.38611086749871	0	0.0247766	-	0
NM_001126324	3088659	chr4	143204905	143208498	-5.37802746287619	0	0.0249777	+	0
NM_001134458	2379175	chr11	32088996	32100279	-5.33841254193199	0	0.022597	-	0
NM_008022	2832777	chr19	24973454	24975799	-5.32852712061275	0	0.0262453	-	0
NM_177772	2343759	chr10	85422435	85474605	-5.32125032823255	0	0.0264369	-	0
NM_001033177	2679339	chr15	101714781	101723351	-5.31435528924581	0	0.0266199	-	0
NM_153145	2421571	chr11	109886947	109952934	-5.30300835203616	0	0.0190693	-	0
NM_001113187	2227379	chr1	21373636	21376465	-5.28583756423953	0	0.0273899	+	0
NM_001142746	2333941	chr10	73284614	74112475	-5.2720494100978	0	0.0172037	+	0
NM_144845	2638617	chr15	9265352	9300625	-5.26287879669022	0	0.028026	+	0
NM_001142760	2333941	chr10	73284614	74112475	-5.25724836253714	0	0.0174388	+	0
NM_001145759	3312539	chr7	132512374	132514526	-5.24263860240554	0	0.028599	+	0
NM_183194	2657649	chr15	63689279	63710113	-5.23798078621157	0	0.0287326	-	0
NM_001085412	3088741	chr4	143309357	143319061	-5.22103230383849	0	0.0292237	+	0
NM_028992	2657655	chr15	63722819	63743852	-5.21052995741592	0	0.0295322	-	0
NM_177912	2657645	chr15	63655900	63676731	-5.20716673477235	0	0.0296317	-	0
NM_146149	3065063	chr4	106406519	106420897	-5.18299958936799	0.00489586	0.00632643	+	0
NM_001099328	2925127	chr2	174469034	174536331	-5.17766024282024	0	0.0169236	+	0
NM_012028	3013613	chr3	152483673	152645171	-5.16888862831267	0	0.030788	-	0
NM_008481	2313207	chr10	26701091	27336748	-5.16812980831156	0	0.0170856	-	0
NM_144903	3040893	chr4	49548866	49562355	-5.14560829676996	0	0.0315131	-	0
NM_009216	2480937	chr12	59312790	59317023	-5.13608967945721	0	0.0242186	+	0
NM_008401	3316391	chr7	135206153	135262005	-5.13188809242294	0	0.0226072	+	0
NM_001082960	3316391	chr7	135206153	135262005	-5.1307524892847	0	0.0226318	+	0
NM_001167923	3434295	chr9	105758399	105862974	-5.12456744144986	0	0.0178464	-	0
NM_010932	2615857	chr14	66019509	66044046	-5.11493304135919	0	0.0324948	-	0
NM_176980	2247925	chr1	72689553	72747138	-5.11046115425561	0	0.0231183	-	0
NM_001167705	2502555	chr12	105350933	105360106	-5.09896663276122	0	0.0330178	+	0
NM_026680	2273497	chr1	135206399	135219603	-5.08709256214736	0	0.0334121	+	0
NM_001024932	3165037	chr5	138307056	138312986	-5.06790906753104	0	0.0340593	-	0
NM_008670	2571443	chr13	101177724	101222819	-5.056779237598	0	0.0225748	-	0
NM_001033369	2872147	chr2	58119863	58177218	-5.05325108400591	0	0.0191656	-	0
NM_007734	2251755	chr1	82583495	82718634	-5.04757576896998	0	0.0192747	+	0
NM_030679	2395369	chr11	67013615	67038077	-5.03997811466352	0	0.0219001	+	0
NM_177006	3124681	chr5	64040341	64201780	-5.038826456983	0	0.0194441	+	0
NM_023852	2574677	chr13	110844396	111070414	-5.03459863516975	0	0.0195264	-	0
NM_001034904	3258325	chr7	22694452	22706308	-5.02088868086623	0	0.035699	-	0
NM_001034904	3258883	chr7	23917641	23929497	-5.02088868086623	0	0.035699	-	0
NM_008192	2396353	chr11	69031618	69050524	-5.0147517551081	0	0.0199179	-	0
NM_010250	2381965	chr11	41944981	41996432	-5.01267687670852	0	0.0254932	-	0
NM_010089	3300613	chr7	110565209	110567688	-5.00510312480245	0	0.036267	+	0
NM_029294	2472881	chr12	35669432	35671108	-4.99265196778379	0	0.0367214	+	0
NM_029562	2667959	chr15	82620536	82624675	-4.9739813337749	0	0.0374134	-	0
NM_001001559	3300563	chr7	110398599	110401019	-4.96971746416836	0	0.0375733	-	0
NM_010343	2519547	chr13	21378297	21384555	-4.96420791911601	0	0.0377809	-	0
NM_201360	2667867	chr15	82385527	82389843	-4.96113395430074	0	0.0378972	+	0
NM_001098267	2729063	chr17	7555252	7557045	-4.96051744026836	0	0.0379206	-	0
NM_198667	3136213	chr5	94495479	94499571	-4.94248797999221	0	0.0386105	-	0
NM_198667	3137163	chr5	96161110	96165192	-4.94248797999221	0	0.0386105	-	0
NM_001159671	3256251	chr7	19640035	19659795	-4.94060376220383	0	0.0386833	+	0
NM_001126182	2571339	chr13	100914017	100972047	-4.93619409175559	0	0.0254679	-	0
NM_138672	2594777	chr14	31952202	31981827	-4.93429944835405	0.00713717	0.00725383	-	0
NM_001033438	2535157	chr13	50340549	50345677	-4.93113165477088	0	0.0297278	-	0
NM_178756	3040667	chr4	49072333	49353133	-4.91524239044092	0	0.0281021	+	0
NM_176920	2594029	chr14	29831393	29846828	-4.88510501266348	0	0.022675	+	0
NM_146959	3300817	chr7	111063575	111078425	-4.87434589576838	0	0.0413332	+	0
NM_001085414	3088803	chr4	143484139	143490283	-4.87300257342739	0	0.0413888	-	0
NM_147049	3301327	chr7	111791393	111795819	-4.85193426852732	0	0.0321779	-	0
NM_007956	2301691	chr10	5342779	5734495	-4.84065330761628	0	0.0280212	-	0
NM_022565	3001795	chr3	125107008	125427904	-4.83990692941332	0	0.030301	+	0
NM_001033773	3062815	chr4	100151471	100222750	-4.83740619873069	0	0.0428886	+	0
NM_001033354	3228977	chr6	121322950	121423696	-4.81755556452447	0	0.0242596	-	0
NM_177135	2579697	chr14	3224445	3234345	-4.81699058682112	0	0.0437732	+	0
NM_177690	3245087	chr7	5250148	5302637	-4.81524327911289	0.00472104	0.0114895	-	0
NM_001004194	3258951	chr7	24086210	24147296	-4.80875991546544	0	0.0312597	+	0
NM_001085530	3032101	chr4	41836783	41842582	-4.79590705238339	0	0.0293035	+	0
NM_001085530	3035441	chr4	42535970	42541769	-4.79590705238339	0	0.0293035	+	0
NM_001167898	3361713	chr8	83134937	83219456	-4.78576922716424	0	0.0250431	+	0
NM_001039647	3142479	chr5	105752045	105775491	-4.77893565075501	0	0.0346147	-	0
NM_001044308	2666483	chr15	80117667	80228722	-4.77344920239209	0	0.0222683	+	0
NM_153179	2226831	chr1	20047859	20608138	-4.76101613530633	0	0.0206582	-	0
NM_181277	2654671	chr15	55139304	55352357	-4.75838197337949	0	0.0257384	+	0
NM_009160	2598781	chr14	41985501	41998487	-4.7576537562151	0	0.0464492	-	0
NM_009040	2360745	chr10	127238208	127252895	-4.75593958878103	0	0.0329552	+	0
NM_138674	2651617	chr15	44289098	44428681	-4.74628914869899	0	0.0209647	+	0
NM_170689	2331639	chr10	68996455	69490184	-4.74509339136543	0.00807732	0.00931119	+	0
NM_021050	3181141	chr6	18120686	18272769	-4.73595221871151	0	0.0263223	+	0
NM_008039	2736657	chr17	18024787	18030916	-4.73552377603708	0	0.0474885	+	0
NM_007717	2521731	chr13	24506991	24569154	-4.73048514046488	0	0.0232345	+	0
